"","idxAu","idxPap","year","journal"
"1",1,80017,2014,"Biost"
"2",2,47012,2001,"SMed"
"3",3,63665,2010,"CSTM"
"4",4,3528,1985,"Bcs"
"5",4,7245,1977,"Bka"
"6",4,46004,2005,"JoAS"
"7",4,54361,1983,"ScaJS"
"8",5,3127,1990,"Bcs"
"9",5,48728,1992,"SMed"
"10",6,46410,2000,"JoAS"
"11",7,878,2008,"Bcs"
"12",7,1322,2004,"Bcs"
"13",7,1634,2001,"Bcs"
"14",7,3003,1991,"Bcs"
"15",7,5768,1994,"Bka"
"16",7,9795,1994,"JRSSA"
"17",7,12196,2011,"JRSSC"
"18",7,19612,1978,"AoS"
"19",7,19627,1978,"AoS"
"20",7,36099,2002,"SPLet"
"21",7,46773,2015,"SMed"
"22",7,47389,1999,"SMed"
"23",7,47754,1997,"SMed"
"24",7,48171,1995,"SMed"
"25",7,48519,1993,"SMed"
"26",7,48815,1991,"SMed"
"27",7,49086,1989,"SMed"
"28",7,49174,1988,"SMed"
"29",7,50538,2012,"SMed"
"30",7,50652,2012,"SMed"
"31",7,50842,2011,"SMed"
"32",7,51104,2010,"SMed"
"33",7,51501,2009,"SMed"
"34",7,51651,2008,"SMed"
"35",7,51873,2008,"SMed"
"36",7,52548,2005,"SMed"
"37",7,52975,2004,"SMed"
"38",7,53575,2007,"ScaJS"
"39",7,54053,1995,"ScaJS"
"40",7,54259,1987,"ScaJS"
"41",7,54275,1987,"ScaJS"
"42",7,54317,1985,"ScaJS"
"43",7,54452,1980,"ScaJS"
"44",7,54499,1978,"ScaJS"
"45",7,71340,2001,"StSci"
"46",7,73221,2012,"JRSSA"
"47",7,79564,2009,"Biost"
"48",7,79631,2008,"Biost"
"49",7,79836,2004,"Biost"
"50",7,80234,2010,"Biost"
"51",8,11105,2004,"JRSSC"
"52",9,11363,1997,"JRSSC"
"53",9,52288,2006,"SMed"
"54",10,20165,2012,"AoP"
"55",10,21297,1998,"AoP"
"56",10,22087,1989,"AoP"
"57",10,22361,1986,"AoP"
"58",10,42019,2002,"PTRF"
"59",10,43823,2006,"AIHPP"
"60",10,44411,2014,"AIHPP"
"61",11,47663,1998,"SMed"
"62",12,54307,1985,"ScaJS"
"63",13,53550,2007,"ScaJS"
"64",14,13268,2010,"JMVA"
"65",14,56547,2012,"CanJS"
"66",14,79389,2014,"Extrem"
"67",15,10227,1983,"JRSSB"
"68",16,605,2010,"Bcs"
"69",17,72774,2007,"JRSSA"
"70",17,72825,2006,"JRSSA"
"71",18,3413,1986,"Bcs"
"72",18,11067,2005,"JRSSC"
"73",18,54431,1980,"ScaJS"
"74",19,38143,2010,"CSDA"
"75",20,20838,2004,"AoP"
"76",21,24103,2014,"JASA"
"77",21,24409,2012,"JASA"
"78",21,25284,2010,"JASA"
"79",21,26243,2002,"JASA"
"80",22,18040,1993,"AoS"
"81",23,8655,1990,"AISM"
"82",24,72777,2007,"JRSSA"
"83",24,72790,2006,"JRSSA"
"84",24,73226,2012,"JRSSA"
"85",25,71537,2014,"StSci"
"86",26,25854,2006,"JASA"
"87",26,27172,1995,"JASA"
"88",26,38532,2009,"CSDA"
"89",26,49740,2015,"SMed"
"90",26,62287,2014,"CSTM"
"91",26,62705,2013,"CSTM"
"92",26,69342,2004,"JSPI"
"93",26,70368,1999,"JSPI"
"94",26,70409,1998,"JSPI"
"95",27,36684,2014,"CSDA"
"96",27,37927,2010,"CSDA"
"97",27,45222,2012,"JoAS"
"98",27,51111,2010,"SMed"
"99",27,67237,2011,"JSPI"
"100",28,44574,2015,"JoAS"
"101",29,9507,2012,"AISM"
"102",29,68017,2009,"JSPI"
"103",30,39872,2004,"CSDA"
"104",30,45062,2013,"JoAS"
"105",31,9986,1984,"JRSSA"
"106",32,32707,2014,"SPLet"
"107",33,47298,2000,"SMed"
"108",34,32315,1984,"SPLet"
"109",35,12319,2008,"JRSSC"
"110",36,32819,2014,"SPLet"
"111",36,62094,2015,"CSTM"
"112",37,62500,2014,"CSTM"
"113",37,62582,2014,"CSTM"
"114",38,44958,2013,"JoAS"
"115",38,45340,2011,"JoAS"
"116",38,62928,2013,"CSTM"
"117",39,32888,2013,"SPLet"
"118",39,63077,2012,"CSTM"
"119",39,63879,2009,"CSTM"
"120",39,64486,2007,"CSTM"
"121",40,49531,2015,"SMed"
"122",41,34630,2008,"SPLet"
"123",41,63495,2011,"CSTM"
"124",42,33824,2010,"SPLet"
"125",42,62154,2015,"CSTM"
"126",42,63395,2011,"CSTM"
"127",42,67185,2011,"JSPI"
"128",43,33384,2012,"SPLet"
"129",44,81144,2008,"JMLR"
"130",44,81276,2006,"JMLR"
"131",45,71369,1999,"StSci"
"132",46,72830,2006,"JRSSA"
"133",46,73261,2011,"JRSSA"
"134",47,6641,1984,"Bka"
"135",47,49444,1985,"SMed"
"136",48,4746,2007,"Bka"
"137",48,78663,2003,"JRSSB"
"138",49,8698,1989,"AISM"
"139",49,9065,1981,"AISM"
"140",49,58851,1992,"CSTM"
"141",49,59228,1990,"CSTM"
"142",50,4703,2007,"Bka"
"143",50,34658,2008,"SPLet"
"144",50,44615,2015,"JoAS"
"145",50,45347,2011,"JoAS"
"146",50,56463,2014,"CanJS"
