"","FromPap","ToPap","FromYear","ToYear","SelfCite"
"10",1,21208,2014,1999,0
"19",1,670,2014,2009,0
"24",2,4574,2014,2009,1
"26",2,73518,2014,2012,1
"27",2,54652,2014,2014,1
"32",2,54015,2014,1996,0
"33",2,79349,2014,2006,0
"35",3,79823,2014,2004,0
"36",3,47123,2014,2000,0
"37",3,80188,2014,2011,1
"38",3,4863,2014,2005,1
"39",3,50837,2014,2011,0
"41",3,28273,2014,1986,0
"42",3,218,2014,2012,0
"47",3,18387,2014,1990,0
"48",3,5018,2014,2003,0
"49",3,16235,2014,2011,0
"53",3,19578,2014,1978,0
"57",3,1282,2014,2004,0
"58",3,183,2014,2012,0
"60",3,24277,2014,2013,1
"61",3,24367,2014,2012,0
"62",4,26803,2014,1997,0
"75",4,4666,2014,2008,0
"77",5,26966,2014,1996,0
"84",5,71663,2014,2010,0
"89",5,50976,2014,2011,1
"91",5,5646,2014,1995,0
"98",5,71625,2014,2011,0
"101",6,78584,2014,2004,0
"103",6,39927,2014,2003,0
"104",6,25850,2014,2006,0
"105",6,61939,2014,1976,0
"107",6,586,2014,2010,1
"108",6,76687,2014,2014,1
"109",6,79229,2014,2009,1
"110",6,41169,2014,2003,1
"112",6,25302,2014,2010,0
"113",6,79173,2014,2011,0
"114",6,25937,2014,2005,0
"115",6,17398,2014,1998,0
"117",7,16315,2014,2010,0
"118",7,1349,2014,2004,0
"119",7,385,2014,2011,0
"120",7,79207,2014,2010,0
"121",7,82025,2014,2009,0
"123",7,4840,2014,2005,1
"124",7,78625,2014,2004,1
"125",7,81973,2014,2009,1
"127",7,1616,2014,2002,0
"133",7,17832,2014,1995,0
"134",7,55803,2014,2000,0
"135",7,25530,2014,2008,0
"138",7,78502,2014,2006,0
"140",7,78895,2014,1998,0
"141",7,74158,2014,2004,0
"142",7,38089,2014,2010,0
"144",7,4614,2014,2008,0
"145",7,25610,2014,2008,0
"146",7,17342,2014,1999,0
"149",8,27981,2014,1989,0
"151",8,25630,2014,2007,0
"152",8,25346,2014,2010,1
"154",8,13626,2014,2008,0
"158",8,37912,2014,2011,0
"159",9,26293,2014,2001,0
"160",9,26515,2014,1999,0
"161",9,26931,2014,1996,0
"162",9,26263,2014,2001,0
"163",9,16463,2014,2009,0
"164",9,76239,2014,2004,0
"166",9,25667,2014,2007,0
"167",9,27514,2014,1992,0
"168",9,27699,2014,1991,0
"169",9,4708,2014,2007,0
"173",9,27329,2014,1994,0
"174",9,10547,2014,1996,0
"175",9,4673,2014,2008,1
"176",9,73640,2014,2011,1
"177",9,26083,2014,2003,0
"178",9,66527,2014,1987,0
"179",9,4713,2014,2007,1
"180",9,24586,2014,2010,0
"181",9,25817,2014,2006,0
"182",9,25758,2014,2006,0
"183",9,25742,2014,2006,0
"185",10,2703,2014,1994,0
"186",10,711,2014,2009,0
"187",10,52334,2014,2006,0
"188",10,3232,2014,1989,0
"189",10,5677,2014,1995,0
"191",10,2035,2014,1999,0
"192",10,5287,2014,2000,0
"193",10,50957,2014,2011,1
"194",10,6096,2014,1990,1
"196",10,50184,2014,2013,0
"197",10,1233,2014,2005,1
"198",10,4817,2014,2006,0
"199",10,52465,2014,2006,0
"200",10,2038,2014,1999,1
"201",10,2004,2014,1999,0
"202",10,50364,2014,2013,1
"203",10,25502,2014,2008,0
"204",10,50810,2014,2011,0
"205",10,51928,2014,2007,0
"206",10,1695,2014,2001,0
"207",10,3956,2014,1979,0
"208",10,7214,2014,1977,0
"209",10,53204,2014,2003,0
"210",10,2574,2014,1995,0
"211",10,3617,2014,1984,0
"213",10,6465,2014,1986,0
"216",11,17529,2014,1997,0
"218",11,10409,2014,1977,0
"219",11,24907,2014,1977,0
"222",11,79118,2014,2013,1
"223",11,2911,2014,1992,0
"224",11,11407,2014,1996,1
"225",11,10259,2014,1982,0
"226",11,51608,2014,2008,0
"227",11,78896,2014,1998,0
